company,legal_name,input_status,input_batch,official_yc_name,official_yc_batch,round_date,date_precision,round_type,amount_usd,price_or_terms,lead_investors,all_publicly_named_investors,source_reference,source_url,source_confidence,notes
Aemon,"Omnial AI, Inc",Active,W26,Aemon,W26,2026-01-01,approx_batch_period,YC standard deal,"$500,000","$125,000 for 7% plus $375,000 on an uncapped SAFE with MFN.",Y Combinator,Y Combinator,Y Combinator's Standard Deal,https://www.ycombinator.com/deal,high,Approximate batch-period date used for ordering; exact YC close date is not public.
Anthrogen,Arctic Capture Inc.,Active,S24,Anthrogen,S24,2024-06-01,approx_batch_period,YC standard deal,"$500,000","$125,000 for 7% plus $375,000 on an uncapped SAFE with MFN.",Y Combinator,Y Combinator,Y Combinator's Standard Deal,https://www.ycombinator.com/deal,high,Approximate batch-period date used for ordering; exact YC close date is not public.
Anthrogen,Arctic Capture Inc.,Active,S24,Anthrogen,S24,2024-11-12,exact,Undisclosed venture round,"$4,000,000",Not publicly disclosed,Not publicly specified,ReGen Ventures; Wayfinder Ventures; BoxGroup; Liquid2 Ventures; Soma Capital; Ritual Capital; Collaborative Fund; Pioneer Fund; Y Combinator; Paul Graham; Kulveer Taggar; Todd Goldberg; Rahul Vohra angel fund,"AI chemical startup Anthrogen closed $4M from Y Combinator, Paul Graham / American Bazaar summary",https://www.axios.com/pro/climate-deals/2024/11/12/anthrogen-4m-ai-fuel,medium,Investor list assembled from public reporting summaries; no pricing disclosed.
Archil,Regatta Storage Inc.,Active,F24,Archil,F24,2024-09-01,approx_batch_period,YC standard deal,"$500,000","$125,000 for 7% plus $375,000 on an uncapped SAFE with MFN.",Y Combinator,Y Combinator,Y Combinator's Standard Deal,https://www.ycombinator.com/deal,high,Approximate batch-period date used for ordering; exact YC close date is not public.
Archil,Regatta Storage Inc.,Active,F24,Archil,F24,2025-06-02,exact,Undisclosed venture round,"$6,700,000",Not publicly disclosed,Not publicly specified,Y Combinator; Karman Ventures,Archil funding search results (CB Insights / Regatta Storage),,medium,CB Insights search snippet says Archil has raised 3 rounds and that its latest round was $6.7M on 2025-06-02; earlier rounds were not fully enumerated publicly from accessible snippets.
Ashr,,Active,W26,Ashr,W26,2026-01-01,approx_batch_period,YC standard deal,"$500,000","$125,000 for 7% plus $375,000 on an uncapped SAFE with MFN.",Y Combinator,Y Combinator,Y Combinator's Standard Deal,https://www.ycombinator.com/deal,high,Approximate batch-period date used for ordering; exact YC close date is not public.
Atum Works,Atum Works Inc.,Active,X25,Atum Works,X25,2025-04-01,exact,Seed,Undisclosed,Not publicly disclosed,Koro Capital,Koro Capital; Y Combinator,Atum Works funding search results (Crunchbase snippet),,medium,Public search snippets show a seed round dated 2025-04-01.
Atum Works,Atum Works Inc.,Active,X25,Atum Works,X25,2025-04-01,approx_batch_period,YC standard deal,"$500,000","$125,000 for 7% plus $375,000 on an uncapped SAFE with MFN.",Y Combinator,Y Combinator,Y Combinator's Standard Deal,https://www.ycombinator.com/deal,high,Approximate batch-period date used for ordering; exact YC close date is not public.
Auricle,Auricle Health Inc.,Active,W21,Auricle,W21,2021-01-01,approx_batch_period,YC standard deal,"$125,000","$125,000 for 7% (standard YC deal in 2021 batch materials).",Y Combinator,Y Combinator,How to Apply and Succeed at YC (2021),https://www.ycombinator.com/blog/how-to-apply-and-succeed-at-yc,high,Approximate batch-period date used for ordering; exact YC close date is not public.
Autosana,"Autosana, Inc.",Active,S25,Autosana,S25,2025-06-01,approx_batch_period,YC standard deal,"$500,000","$125,000 for 7% plus $375,000 on an uncapped SAFE with MFN.",Y Combinator,Y Combinator,Y Combinator's Standard Deal,https://www.ycombinator.com/deal,high,Approximate batch-period date used for ordering; exact YC close date is not public.
